name,lga,state_id,state,postcode,latitude,longitude,map,type,id
Balcomba,Central Highlands,QLD,Queensland,4702,-23.32361,149.64333,8851,Locality,d605bdb1cb53407d5af6167c18496e08
Bald Blair,Guyra,NSW,New South Wales,2365,-30.17340,151.81560,9237,Locality,5afae1e0f2cb221f08f6e92bd0d9ae21
Baldersleigh,Guyra,NSW,New South Wales,2350,-30.25550,151.42600,9137,Locality,820f49508c3d40b040025d3c907bd02a
Bald Hills,Ballarat,VIC,Victoria,3352,-37.44225,143.83542,7623,Locality,f6877fd7b90e8640b66d69e74b6d98a3
Bald Hills,Brisbane,QLD,Queensland,4036,-27.30833,153.01222,9543,Suburb,bf2640a657936fca269eee4e758c5bfc
Bald Hills,Yankalilla,SA,South Australia,5211,-35.48737,138.40205,6527,Locality,8737b197892f1308d6a3e921e360ce66
Bald Hills,Bega Valley,NSW,New South Wales,2549,-36.90680,149.83460,8824,Locality,36b81efeaa7967487ead5a8b6ebbbcd0
Baldina,Goyder,SA,South Australia,5417,-33.68892,139.07880,6730,Locality,bcc875ff79f4c94a2c3f742fd8b1760c
Baldivis,Rockingham,WA,Western Australia,6171,-32.32702,115.81973,2033,Town,9ddd2d3d5587fe64aa835ee3dc0bdf61
Bald Knob,Sunshine Coast,QLD,Queensland,4552,-26.78250,152.90833,9444,Locality,d1c817fa736335f6c252e47eedff7490
Bald Nob,Glen Innes Severn,NSW,New South Wales,2370,-29.63180,151.96790,9238,Locality,7ad9d07184d7fe685b80749f85cd3bd9
Bald Ridge,Oberon,NSW,New South Wales,2795,-33.93180,149.43460,8730,Locality,3090cd042aa2acb3f22aa22c0e75d82e
Baldry,Cabonne,NSW,New South Wales,2867,-32.86520,148.50120,8632,Locality,141254d3e2ba21ef7465819723e9cf8b
Balfours Peak,Gwydir,NSW,New South Wales,2402,-29.46050,150.77760,9039,Locality,24593b19627a0376605d90786f97d74e
Balga,Stirling,WA,Western Australia,6061,-31.85934,115.83870,2034,Suburb,14bbe2747457d6d5e871cae3ce797f3b
Balgal,Townsville,QLD,Queensland,4816,-19.01429,146.40693,8159,Town,cc43e262ab7395510bf8b5e8aa379e74
